Guid,Id,TitleName,MarketplaceUrl
66acd000-77fe-1000-9115-d802315a07d2,827983826,WWE 2K16,https://marketplace.xbox.com/ar-AE/Product/WWE-2K16/66acd000-77fe-1000-9115-d802315a07d2
66acd000-77fe-1000-9115-d802354107d5,893454293,adidas,https://marketplace.xbox.com/ar-AE/Product/adidas/66acd000-77fe-1000-9115-d802354107d5
66acd000-77fe-1000-9115-d802354807d1,893913041,Painkiller Hell & Damnation,https://marketplace.xbox.com/ar-AE/Product/Painkiller-Hell-Damnation/66acd000-77fe-1000-9115-d802354807d1
66acd000-77fe-1000-9115-d802354807d5,893913045,Deadfall Adventures,https://marketplace.xbox.com/ar-AE/Product/Deadfall-Adventures/66acd000-77fe-1000-9115-d802354807d5
66acd000-77fe-1000-9115-d802354807dc,893913052,MX VS ATV Supercross,https://marketplace.xbox.com/ar-AE/Product/MX-VS-ATV-Supercross/66acd000-77fe-1000-9115-d802354807dc
66acd000-77fe-1000-9115-d802354807dd,893913053,Legend of Kay Anniversary,https://marketplace.xbox.com/ar-AE/Product/Legend-of-Kay-Anniversary/66acd000-77fe-1000-9115-d802354807dd
66acd000-77fe-1000-9115-d802354807de,893913054,The Book of Unwritten Tales 2,https://marketplace.xbox.com/ar-AE/Product/The-Book-of-Unwritten-Tales-2/66acd000-77fe-1000-9115-d802354807de
66acd000-77fe-1000-9115-d802354807e0,893913056,Destroy All Humans,https://marketplace.xbox.com/ar-AE/Product/Destroy-All-Humans/66acd000-77fe-1000-9115-d802354807e0
66acd000-77fe-1000-9115-d802354807e1,893913057,Full Spectrum Warrior,https://marketplace.xbox.com/ar-AE/Product/Full-Spectrum-Warrior/66acd000-77fe-1000-9115-d802354807e1
66acd000-77fe-1000-9115-d802354807e2,893913058,MX Unleashed,https://marketplace.xbox.com/ar-AE/Product/MX-Unleashed/66acd000-77fe-1000-9115-d802354807e2
66acd000-77fe-1000-9115-d802354807e3,893913059,Panzer Elite Action,https://marketplace.xbox.com/ar-AE/Product/Panzer-Elite-Action/66acd000-77fe-1000-9115-d802354807e3
66acd000-77fe-1000-9115-d802354807e4,893913060,Sphinx & the Cursed Mummy,https://marketplace.xbox.com/ar-AE/Product/Sphinx-the-Cursed-Mummy/66acd000-77fe-1000-9115-d802354807e4
66acd000-77fe-1000-9115-d802373307d2,926091218,Dance Central™ 2,https://marketplace.xbox.com/ar-AE/Product/Dance-Central-2/66acd000-77fe-1000-9115-d802373307d2
66acd000-77fe-1000-9115-d802373307d9,926091225,Dance Central™ 3,https://marketplace.xbox.com/ar-AE/Product/Dance-Central-3/66acd000-77fe-1000-9115-d802373307d9
66acd000-77fe-1000-9115-d802373407d3,926156755,Falling Skies,https://marketplace.xbox.com/ar-AE/Product/Falling-Skies/66acd000-77fe-1000-9115-d802373407d3
