Guid,TitleName
3f5cd5d9-a950-4acb-a752-86eafb3cccc4,"The Evil Within"
10e11b31-9367-427f-9191-68fbcd793424,"Styx: Master of Shadows"
a197b137-065a-405a-b639-9b307de29b3f,"Divekick"
4c48886c-2de2-48b8-8ec3-4f87424b2ff5,"Project Spark"
73ebd3cf-0056-4a84-a62c-148873b8dfed,"NBA 2K15"
b49d270b-1b5e-46e2-9494-10e8eef735a3,"Alien: Isolation"
8efcf807-c12d-440d-a755-5d7331fb60b9,"Ryse: Legendary Edition"
b56d38cd-9e33-4d2e-9982-7f0d7e5b6bc8,"Skylanders Trap Team"
aa923b65-9fc9-4af8-954e-654613a0ccc4,"Chariot"
4f6cbf74-adb2-48c2-90a2-69ffbfd8969a,"Forza Horizon 2 Day One Edition"
5783a742-a60e-4a42-81d5-62eae962f642,"Middle-earth™: Shadow of Mordor™"
4c60696e-4998-4a0f-bdce-8d0c57111038,"Forza Horizon 2 Day One Deluxe Edition"
94e641fb-743e-4ecb-94c6-e5e26d3fb8e3,"Middle-earth™: Shadow of Mordor™ Premium Edition"
2920f028-9303-42d8-bb5b-f82df511e41f,"Forza Horizon 2 Day One Ultimate Edition"
0ddcc28b-c2f8-4016-8d83-13677da08856,"Sherlock Holmes: Crimes and Punishments"
d1f83f36-a0da-4cb2-9a94-b45822d77fb1,"Forza Horizon 2"
7976b9c2-eedc-419b-acd2-63981edb7c61,"KickBeat Special Edition"
d61fbdfe-c184-4f9d-9c91-158a7b48a8d3,"Defense Grid 2"
e37ae800-9a7d-4b3a-a7bd-c36eee9b0076,"CastleStorm - Definitive Edition"
484a3f1c-9e2f-4aec-b76c-5c9335678166,"Killer Instinct 2 Classic"
9b982aa4-7dd8-4a60-9577-7c7e92a53cde,"Disney Infinity [2.0]"
a3f37ae2-69d4-4b8a-b162-26e9e3ab7ab2,"Killer Instinct: Season 2 Ultra Edition"
1dede2ca-008d-44dd-ad72-e34063bdf447,"FIFA 15"
6e82a9a6-b6a0-4c30-a50f-1e0ebafee8bc,"D4: Dark Dreams Don't Die"
2671f9a0-b130-4870-ba23-b74726c1373e,"Flockers"
915ccde9-5c9c-4a11-869d-cea1d4d72aea,"NHL® 15 Full Game"
