Guid,TitleName
5783a742-a60e-4a42-81d5-62eae962f642,Middle-earth™: Shadow of Mordor™
57dccc46-232a-44d2-b5de-c978cdb6dffa,Pure Pool
582e7bcc-11bc-4702-ab1b-b31566f8e327,Minecraft: Xbox One Edition
59acc423-58ef-43b7-aef9-4221b5d08018,Disney Fantasia: Music Evolved
5c660145-aca6-4eb9-9131-cdfb684d8016,Metro: Last Light Redux
5e433334-c3a6-41b7-99db-3c4a0d74acba,Forza Motorsport 5: Racing Game of the Year Edition
63de1464-0616-4158-a442-38c5a8aeb537,Call of Duty®: Advanced Warfare Digital Pro Edition
64a5dd75-a33f-41cc-b913-84c531c58b0e,R.B.I. Baseball 14
65b6a1be-ad5d-47f4-8714-bd731dcdb1f0,Madden NFL 25
6b48364a-3890-42b3-a3ac-3277bf1a7914,MONOPOLY DEAL
6dee98e4-b564-47e9-8ac9-8dc88414fccb,MONOPOLY FAMILY FUN PACK
6e82a9a6-b6a0-4c30-a50f-1e0ebafee8bc,D4: Dark Dreams Don't Die
6e936e47-f486-4b69-a0ab-3c0c2937e920,Volgarr the Viking
6e9afbca-f5ed-4c5d-bf6e-cb139d76b664,Battlefield 4™ Premium Edition
70c94c4e-38ba-4802-87dd-015b78a72c00,How to Survive: Storm Warning Edition
73ebd3cf-0056-4a84-a62c-148873b8dfed,NBA 2K15
76949704-6d60-43cc-9e7c-676101e21b39,Need for Speed Rivals
76a70169-09de-4657-a047-548eeb9ca28d,Valiant Hearts: The Great War
77d0d59a-34b7-4482-a1c7-c0abbed17de2,Child of Light
7976b9c2-eedc-419b-acd2-63981edb7c61,KickBeat Special Edition
79af0a05-63be-4255-a364-69a563b27fa0,WWE 2K15 Digital Deluxe Edition
7e4655d5-dc74-4c3a-afdf-adcd1304e573,Boom Ball for Kinect
7f06438e-eefb-4375-96d6-a981e6750c5d,Far Cry® 4
801b5942-9e83-4777-9bc4-1598b60a4204,Terraria
809a88a0-0dac-4687-805e-c0a78a058217,NBA 2K14
810967a8-b286-4eef-b02a-d16bbe55f85f,The Witcher 3: Wild Hunt
858b4e77-ffa8-474a-8743-04f6f6e736c8,Warframe®
85e5ffc6-8595-4066-b1e5-5fbe7779dddd,LocoCycle
8b4cfd5d-52ff-4ca0-b5e2-112d7fd09830,Killer Instinct
8ef9f044-dab7-49f9-9ec6-0aa4c1686efe,Titanfall
8efcf807-c12d-440d-a755-5d7331fb60b9,Ryse: Legendary Edition
90c5260d-0e1b-42f2-a121-c286d0952a5f,Super Time Force
90cd3c08-e2a7-4f60-8ea1-b0c64ac19381,Zombie Driver Ultimate Edition
915ccde9-5c9c-4a11-869d-cea1d4d72aea,NHL® 15 Full Game
929ae68a-e535-4743-a31e-45f68219774c,The Crew Gold Edition
931f95e6-af78-47e6-8d7b-8c58315e5185,EA SPORTS™ UFC®
94e641fb-743e-4ecb-94c6-e5e26d3fb8e3,Middle-earth™: Shadow of Mordor™ Premium Edition
96632e4d-080d-4e88-a821-920e19d0ba82,Madden NFL 15 Holiday Edition
969296a2-51fd-4dcf-aaf3-9e9393b0b0b2,Rocksmith 2014
9703b3a9-4e73-449b-9351-b2a7d81cb1a3,Dragon Age™: Inquisition Deluxe Edition
988b4862-9b7e-40d8-b720-4984624986a8,Wolfenstein: The New Order
988d8a10-8ac5-4e03-8d35-10ef74ecf7b1,Mortal Kombat X
98cf8965-f3e0-4a92-ae54-43f25227a385,Dead Rising 3: Apocalypse Edition
9932f28d-399c-4501-b59b-0a8cc6fe6009,Destiny Digital Guardian Edition
998bb45d-6a74-4587-8c40-fee36e3fefc8,Diablo III: Reaper of Souls – Ultimate Evil Edition
9b982aa4-7dd8-4a60-9577-7c7e92a53cde,Disney Infinity [2.0]
9bab4a04-4ac7-4221-85de-43c89b08c6bd,WATCH_DOGS™
9bf4c4be-71b2-41c6-bcc2-d61ac057e2f2,Battlefield 4
9c72699b-d62a-4316-80a5-fa1d5dc76c73,Zumba Fitness World Party
9e3bc396-05ad-42c5-b8c3-b045ee378f50,Call of Duty®: Ghosts
a197b137-065a-405a-b639-9b307de29b3f,Divekick
a3807603-9e22-48b2-8b75-c6bf36ddc511,Halo: Spartan Assault
a3f37ae2-69d4-4b8a-b162-26e9e3ab7ab2,Killer Instinct: Season 2 Ultra Edition
a41ee8d2-7713-4464-9294-68d65cb53c41,Lords of the Fallen
a6e22d34-3ccc-4356-9e47-34fa1f074545,Fibbage: The Hilarious Bluffing Party Game
a7088307-e3e9-42e5-a6c0-c44ec7303d21,Nutjitsu
a8c76431-541f-40fd-8332-3fa19ab8653e,Transformers: Rise of the Dark Spark
aa3f50ae-5214-47cf-b179-e68b7b999b66,Contrast
aa923b65-9fc9-4af8-954e-654613a0ccc4,Chariot
affd7768-8f9d-4e66-b2f3-f067e7c9e8cb,WWE 2K15
affdf371-f512-4d8d-a9e9-dac4524a0e3a,Dead Rising 3
b04c866a-7d4c-442b-83c2-3b7ace5a4cb6,Need for Speed™ Rivals: Complete Edition
b0c4e193-1a5c-4530-9933-4400adc3f16b,The Amazing Spider-Man 2™
b1613d47-2330-459a-a99f-4cc84a481db9,Rayman Legends
b1a1148c-0cd0-4505-9c7b-0f3e0d80808d,Another World - 20th Anniversary Edition
b1b518b3-6d41-4676-9e5a-6c8a69e9b1d6,Thief
b268d0c2-a0c2-401f-aeed-3ba628ef6fb3,Dragon Age™: Inquisition
b2e563e9-7aa7-4cca-97cb-89fc66d33f62,LEGO Marvel Super Heroes
b49d270b-1b5e-46e2-9494-10e8eef735a3,Alien: Isolation
b4ecb046-3228-48d8-920d-7997e3a2469a,Lara Croft & Season Pass Pack
b56d38cd-9e33-4d2e-9982-7f0d7e5b6bc8,Skylanders Trap Team
b67bfcf3-b44f-4c12-8f60-247ef25c8ade,Game of Thrones - A Telltale Games Series
b70d39a1-d2ab-42d3-afcd-05b549ed0014,Sunset Overdrive Deluxe Edition
bb8cc529-ec3b-46b2-9393-93c6bc056022,The Golf Club
bceea221-f94b-455f-881e-6e51a05fa1ce,JUST DANCE® 2015
bf188055-98dc-4ffe-b616-6bfed5b28744,Pro Evolution Soccer 2015
bffd4299-98d9-4394-b779-0820a0cfd6a7,Strider
c4033ac9-2b2f-4411-b396-02b799973ffa,WARRIORS OROCHI 3 Ultimate
c4afae36-c3b5-4736-97d9-58e9b9de930c,Madden NFL 15
c97b6daa-18d6-4e7c-848e-3cc0a0ac9c22,FAR CRY 4 GOLD EDITION
caa02daa-3119-46b2-935b-4bc8ed4fde27,FIFA 15 HOLIDAY EDITION
cc9cac48-36b3-4574-85e3-965abe32b133,Sleeping Dogs™ Definitive Edition
d0499d7c-8d3f-4863-bdea-a52ab71b7160,Tomb Raider: Definitive Edition
